325.0	170.0	5.0	5.0
323	171	4	4
322	171	4	4
327	155	6	7
323	172	7	3
323	173	7	3
323	173	6	3
323	173	7	3
323	173	7	3
323	172	6	3
323	174	7	3
323	173	6	3
323	173	7	3
323	172	7	3
323	173	7	3
323	173	7	3
324	172	6	3
324	172	6	4
323	170	7	5
323	171	6	5
326	173	4	3
327	173	3	3
328	173	3	3
328	172	3	3
327.58026	171.75073	5.523385	5.016193
327.55515	172.21152	5.6216555	5.931185
329.05273	171.54515	6.3495355	5.00942
330	172	3	3
330.96198	172.051	5.2830577	4.172847
331	172	3	3
332	172	4	3
333	172	3	3
335	172	4	3
338	172	3	3
341	173	3	3
343.66663	173.12877	5.241826	4.13526
347	172	3	3
349.71036	172.9375	4.523632	4.480346
352.16583	172.862	5.192137	4.672843
355.72467	173.40549	5.711434	5.019087
359.9094	173.28914	4.894676	4.657583
363	173	3	3
367	173	3	3
370	173	3	3
374	173	3	3
378	174	3	3
382	174	3	3
385	174	3	3
388.59738	174.39047	5.4150686	5.207944
392.05505	174.60059	4.908954	4.8704753
394.53583	173.638	6.081441	5.259932
398.92307	173.24504	5.758266	6.0271997
402.04916	174.25679	5.152688	5.110327
406	174	4	3
409	175	4	4
412	173	5	5
417	174	4	4
418	174	5	4
420.01102	173.09668	8.234432	8.301231
423	175	7	6
427	174	6	4
432	175	5	5
434	180	5	5
437.05646	174.01399	6.3570127	10.197898
441	175	6	8
443	174	6	9
448	180	5	5
452	180	5	4
454	180	5	5
455	180	6	5
452.49173	177.57532	14.830849	9.71558
452.64813	161.8459	16.836325	20.536469
470	161	6	8
461.95987	147.88095	15.614643	37.82696
464.1461	147.50296	15.880906	37.85081
465.8273	147.22054	15.694039	37.78593
468.45148	147.82814	15.319293	37.491665
470.60663	147.29959	15.337364	37.343002
472.61572	147.6965	14.523554	38.021206
473.08682	147.57758	14.450942	38.159714
474.18533	147.36594	14.664151	38.366776
474.10168	148.158	14.493264	38.23159
474.61368	148.74582	14.297622	37.813488
472.47485	148.84573	16.124487	37.297146
473.84915	148.22638	14.361072	37.818542
472.95612	147.61336	14.54673	38.129726
473.29492	147.80556	14.493114	37.911427
472.9206	147.93675	14.309691	38.070774
404	125	7	8
472.9175	148.54189	13.70925	37.27046
473.10727	148.68881	13.141122	37.507244
472.97513	149.07507	13.306346	37.442085
388	149	9	9
399	165	9	9
400	165	8	9
395	162	10	12
398	164	8	9
395	165	8	8
395	164	8	9
475.47946	148.62184	13.628384	37.77027
475.43558	146.69534	14.326449	38.594067
475.58728	146.96259	14.094492	38.495132
475.96707	146.4193	15.017643	38.786266
476.7716	147.4959	14.168047	38.582485
474.96704	146.87894	16.331621	38.59545
392	164	9	10
393	164	9	10
394	165	9	10
392	164	9	10
392	163	9	10
393	163	9	9
393	164	8	9
394	160	9	11
395	161	7	10
395	163	7	10
394	163	8	11
488.6223	149.55373	11.662872	36.876316
474.35516	144.4509	24.377838	39.193954
358	176	7	6
394	162	9	12
486.8717	145.85606	17.266418	39.12809
398	164	9	10
363	175	9	7
364	176	9	6
466.82492	143.04651	42.29401	65.565926
398.93253	99.527115	122.814735	88.863495
388.1392	145.5448	29.68388	52.83275
366	173	11	10
371	175	7	7
372	175	5	5
372	176	6	4
373	175	5	5
373	176	5	4
373	176	5	4
373	176	5	4
372	176	5	4
371	177	5	4
370	176	5	4
369	176	5	4
368	177	5	4
367	177	5	4
366	176	5	4
367	177	5	5
364	176	5	4
363	177	5	4
363	176	7	6
360	175	5	5
357	175	5	4
355	176	5	4
353	175	7	5
350	174	7	6
348	174	6	6
346	174	8	7
341	172	10	8
342	172	5	5
340	172	5	4
338	171	7	7
337	173	5	4
336	171	7	7
336	172	5	5
335	171	5	4
335	173	5	4
335	172	5	4
334	172	5	4
335	172	5	4
335	172	5	4
334	173	5	4
335	172	4	4
334	173	5	4
334	172	5	4
333	173	5	5
333	173	5	4
333	173	5	4
333	174	5	4
333	174	6	5
333	173	5	4
333	174	5	4
332	174	5	4
332	174	5	4
331	174	4	4
331.5375	172.42961	8.802637	8.111276
330.15466	167.98262	23.874779	23.511806
313.02448	156.3309	37.016663	42.1079
325.77005	148.0994	21.763775	49.349777
320.94537	160.6197	23.973427	35.30552
326.4536	171.8624	18.863007	24.324041
314.55862	174.39197	30.587894	19.073805
294	145	6	7
288.2624	146.13513	15.646033	45.069405
289.00177	149.56894	13.398569	41.887753
289.77554	147.0004	14.037563	43.889595
290.25635	151.25104	13.792604	40.328426
289.6005	147.40639	14.764928	45.481953
317	164	9	9
289.65784	147.7088	14.681158	44.142624
289.2323	147.7419	17.287827	44.46103
316	162	8	7
316	161	7	7
288.53824	152.14685	22.710327	41.301075
288.05573	149.59517	23.54623	42.67887
346	177	6	6
349	179	5	5
351	179	5	5
353	179	4	4
355	178	5	5
293.654	149.11482	18.06446	43.11918
293.468	150.0872	19.976925	42.22105
295.98956	149.69676	16.373901	42.055748
301.2158	147.86803	28.398682	44.647556
297.28143	145.74619	37.849163	53.15313
342	159	6	6
338	170	5	8
294.93784	148.14883	26.56037	46.582596
298.84723	149.91283	26.011608	43.78312
300.66824	148.74307	25.6837	44.401657
328.9607	177.65611	17.942518	15.914111
344	154	7	8
344	164	9	10
297.26917	186.84479	15.437717	4.406675
295.93143	187.17688	13.1549835	4.250338
313	159	9	9
341	173	9	9
326	187	6	6
277.62167	186.24184	13.165173	4.2897153
271.32117	186.26369	11.929974	4.653297
289	160	9	9
260.09628	185.69888	8.104908	4.600663
273	158	10	11
270	159	8	10
265	159	8	9
257	158	10	10
231.67462	185.48878	9.190483	4.606455
226.52147	185.52615	9.322051	4.455983
250	157	9	10
216.56035	185.5109	10.415507	4.2059894
212.63026	184.80818	10.87616	4.571952
207.08966	185.12512	11.00986	4.5939484
202.8711	185.00223	11.146382	3.9260411
199.9751	184.70407	11.088598	4.1452885
195.11873	185.088	10.02675	4.2110476
148	150	10	11
189.02327	184.52301	8.817622	4.3239117
187.07965	184.3366	8.022764	4.6711817
184.15845	183.72221	7.512394	4.9365215
180.9796	183.32254	8.813168	5.0290484
177.63287	183.50441	8.83153	5.2545505
173.00261	183.7167	9.3530445	4.6700773
170.52374	184.19334	9.881595	4.4227524
56	147	9	10
163.04831	184.20915	8.173555	5.028646
50	147	9	9
158.54044	183.3962	7.137644	5.0716963
156.14339	183.04926	7.0521812	5.8466315
155.78006	182.25493	11.681616	6.1238394
155.41502	180.27858	8.892337	7.2762074
155.655	179.51796	9.375773	8.4053755
155.73384	180.54602	6.0597296	7.169
155.13156	181.25627	8.414823	6.335511
157.3714	181.54996	8.065667	5.3875713
152.03333	183.72015	6.4479837	4.4782453
13	166	8	7
0	161	9	14
150.94284	181.50415	5.034356	6.0711803
0	179	8	18
151.70168	179.46504	8.49478	7.258549
156.66635	179.40868	7.3390245	7.0568037
161.22636	184.03146	9.070534	4.137301
162.05315	179.0226	6.3654346	4.5785193
160.83083	183.30293	8.8715105	5.001221
161.83955	182.3211	6.8378954	5.1496673
162.74591	180.46605	5.9973173	7.010329
165.50282	179.69762	12.37535	8.81938
166.91231	176.44002	6.2082143	6.7441216
26	147	8	9
44	165	6	5
179.07663	179.50952	6.0305166	5.052836
183.09595	180.796	6.5242996	4.8269963
184.72983	181.17688	6.7787375	4.6867213
185.14803	182.04102	7.475794	4.768603
35	167	7	8
34	166	9	9
35	164	10	10
41	165	8	8
194.70715	177.80608	6.397888	5.293888
191.5142	178.5353	9.582862	6.6458325
192.92755	177.78583	8.261833	7.974334
81	171	7	8
81	170	8	8
80	171	9	8
202.17082	179.8604	6.1441426	4.5753307
84	170	8	8
207.04742	178.80045	5.3992424	5.149685
85	168	7	8
205.60983	180.707	6.973748	4.4107494
85	165	7	9
197.0951	177.39476	7.0321817	3.3160522
197.97285	176.89925	10.338314	6.017942
201.5531	177.42615	4.1536403	3.1294525
200.01752	177.75006	5.5427203	3.5958104
93	153	9	8
198.15135	177.29057	7.6755824	5.078684
199.20625	177.33379	6.5151997	4.3237743
85	168	6	7
198.76297	177.80203	6.3821387	3.4161055
200.23975	176.70293	5.688082	4.1130033
197.78172	176.36832	7.8087573	3.9873548
200.23355	176.43774	7.3628864	4.009306
203.40675	177.18585	7.46826	4.028638
85	168	8	8
85	168	8	8
61	165	9	9
59	164	10	10
69	166	8	8
59	167	7	8
60	165	8	9
61	165	9	9
60	167	9	8
60	167	8	8
59	169	9	10
46	167	7	8
46	167	7	8
239.04977	150.92787	21.854822	32.022278
45	166	6	9
44	166	7	8
44	166	8	8
44	165	8	7
45	165	8	9
245.9733	168.2663	13.343473	14.051075
248.91272	169.18092	12.981074	11.364742
30	167	12	16
42	170	10	10
243.52899	174.71852	5.063416	5.1175876
251.98099	174.7095	5.9724813	5.2404366
258.22894	174.62262	6.7634077	5.257561
264.65118	175.65442	6.503661	4.6469827
271.47485	175.26175	5.589964	4.2660375
274.03397	176.2442	7.9423494	4.1476836
278.40454	176.23535	7.64196	3.940629
282.09018	176.76611	6.741326	3.7418516
286.5767	176.86826	6.5890894	3.5241125
290.4557	175.99306	6.6017823	4.16873
294.35803	176.39317	6.6705365	3.7946997
299.295	176.89082	6.5158534	4.2541003
303.05667	177.21944	6.3963804	3.6887362
207	165	7	7
210	165	8	8
213	165	7	7
214	166	8	7
216	164	8	9
250	154	12	16
319.55258	178.17186	6.5001082	3.417645
320.65762	177.85216	6.612727	3.5472288
310	156	8	8
310	154	8	8
310	154	8	8
325	175	5	4
328	175	4	5
324.33633	173.2876	7.7002697	6.773591
322.43787	172.2979	9.0209875	6.4541464
324.8764	172.36858	5.676864	6.2543645
325.84253	172.81442	4.188781	5.783333
325.87018	173.78531	4.620496	4.72389
324.86288	174.32445	4.844925	4.69372
322.91904	176.28795	5.6449137	4.5261726
322.40048	176.51198	6.239541	4.00274
321.45416	176.88115	6.858409	3.4982042
322.3661	177.75581	7.122524	3.584944
324.4913	177.86209	6.5935655	3.794108
327.47693	177.43642	5.7330413	4.073713
328.558	178.06659	6.264822	3.7604318
330.34958	177.00204	6.277171	3.9682975
333	176	5	4
335	175	4	5
336	174	3	5
334.60327	172.92932	6.79327	7.0322847
326.5071	168.51712	16.505898	12.095781
324.4026	146.84972	14.617358	31.1014
319.10135	146.72954	20.202076	32.125607
321.9535	147.17813	19.191849	33.386955
314.53723	145.89087	27.236237	38.979496
290.82416	147.8007	15.380241	34.025085
293.99457	150.69835	13.0343075	31.458529
294.41016	151.89865	14.352389	31.156637
291.40674	151.7485	20.505995	32.639133
294.4894	150.20003	15.892719	31.59801
179	173	4	4
178	172	5	5
177	172	5	5
236.43329	152.29059	18.706861	37.344967
176	172	6	6
243.25305	152.75728	11.226039	36.055275
246.26169	164.99861	8.921345	12.863744
248.03291	156.38731	7.4660306	9.55911
250.10019	155.68718	6.8411846	7.42984
249.77417	156.8686	8.468622	13.304746
247.34612	156.00746	17.878382	21.33944
248.48619	154.71616	18.773766	38.54935
33	167	9	8
25	164	8	9
251.0039	144.3126	81.79278	61.635582
305.4624	151.04114	27.402458	45.91106
300.14847	151.15556	31.025753	43.020874
309.448	150.79733	23.242828	44.64919
311.57986	150.05711	22.47728	44.1794
307.6618	149.23042	26.513546	45.890476
315.29044	151.19089	20.086512	46.8426
312.33536	151.09644	25.313236	44.755997
314.08386	150.96013	24.807253	44.886864
316.262	148.51273	23.100142	48.767624
314.43164	147.63905	26.445776	50.874836
345.47522	129.50449	14.753326	9.128622
347.91168	126.648865	15.907577	10.775483
348.82324	126.20569	16.274822	12.059442
351.0123	125.974396	16.159124	11.616
352.02734	127.249626	15.959938	10.840222
38	164	7	9
353.79498	125.71829	18.260273	12.557255
